G1	G2	-
G1	G3	-
G1	G4	-
G5	G6	-
G5	G7	+
G5	G8	+
G221	G222	-
G221	G223	-
G221	G224	-
G221	G225	-
G221	G226	-
G221	G227	-
G221	G228	-
G221	G229	-
G221	G230	-
G221	G231	-
G221	G232	-
G221	G233	-
G221	G234	-
G221	G235	-
G221	G236	-
G221	G237	-
G221	G238	-
G221	G239	-
G221	G240	-
G221	G241	-
G221	G242	-
G221	G243	-
G221	G244	-
G221	G245	+
G221	G246	+
G221	G247	+
G221	G248	+
G221	G249	+
G221	G250	-
G221	G251	-
G221	G252	-
G221	G253	-
G221	G254	-
G221	G255	-
G221	G256	-
G221	G257	-
G266	G267	+
G266	G268	-
G266	G269	-
G284	G285	+
G284	G286	+
G284	G287	+
G297	G156	+
G297	G155	+
G303	G304	+
G303	G305	+
G303	G306	+
G303	G307	+
G303	G308	+
G303	G309	+
G303	G310	+
G303	G311	+
G303	G312	+
G313	G314	+
G313	G315	+
G313	G316	+
G313	G317	+
G313	G318	+
G313	G319	+
G313	G320	+
G313	G321	+
G313	G322	+
G705	G392	-
G705	G584	-
G705	G633	-
G705	G632	-
G705	G667	-
G706	G595	+
G706	G707	+
G726	G306	+
G726	G307	+
G726	G312	+
G726	G309	-
G726	G310	-
G726	G311	-
G726	G308	-
G726	G727	-
G726	G303	+
G726	G305	+
G726	G304	-
G726	G728	+
G726	G729	+
G726	G730	+
G726	G731	+
G726	G732	+
G726	G733	+
G726	G734	+
G726	G735	+
G726	G736	+
G726	G737	+
G726	G738	+
G726	G739	+
G755	G2	-
G755	G3	-
G757	G569	+
G757	G758	+
G757	G759	+
G757	G760	+
G757	G761	+
G757	G762	+
G757	G763	+
G757	G764	+
G757	G765	+
G757	G568	+
G757	G766	+
G757	G282	+
G757	G644	+
G656	G793	-
G656	G593	-
G656	G594	-
G656	G595	-
G656	G794	-
G656	G707	+
G656	G232	+
G656	G795	-
G656	G796	+
G656	G508	+
G656	G509	+
G656	G510	+
G656	G520	+
G656	G797	+
G656	G534	-
G656	G635	-
G656	G798	-
G656	G799	-
G656	G638	+
G656	G639	+
G656	G641	-
G656	G551	+
G656	G552	+
G656	G561	-
G656	G808	+
G656	G809	-
G656	G484	-
G656	G810	+
G656	G811	+
G656	G287	-
G656	G286	-
G656	G285	-
G656	G257	+
G656	G236	+
G656	G74	+
G656	G75	+
G656	G679	+
G656	G680	+
G656	G681	+
G656	G815	-
G656	G816	+
G656	G817	+
G656	G818	+
G656	G819	+
G656	G820	+
G656	G821	+
G656	G822	+
G656	G823	+
G656	G824	+
G656	G825	+
G656	G826	+
G656	G244	+
G656	G827	+
G656	G828	+
G656	G829	+
G656	G830	+
G656	G831	+
G656	G319	+
G656	G832	+
G656	G833	+
G656	G834	+
G656	G835	+
G656	G836	+
G656	G837	+
G656	G838	+
G656	G839	+
G656	G840	+
G656	G841	+
G656	G842	+
G656	G843	+
G656	G844	+
G656	G845	+
G656	G846	+
G656	G231	+
G656	G852	-
G656	G853	+
G656	G230	+
G656	G158	+
G656	G854	-
G656	G855	+
G656	G229	+
G656	G856	-
G656	G857	+
G656	G602	+
G656	G858	+
G656	G859	+
G656	G228	+
G656	G227	+
G656	G226	+
G656	G625	+
G656	G860	+
G656	G861	+
G656	G862	+
