G9	G10	+
G43	G44	+
G43	G45	+
G43	G46	+
G43	G47	+
G43	G48	+
G43	G49	+
G43	G50	+
G43	G51	+
G43	G52	+
G43	G53	+
G65	G66	+
G65	G77	-
G65	G78	-
G65	G79	+
G65	G81	-
G65	G82	-
G65	G83	-
G65	G84	-
G65	G85	-
G65	G86	+
G65	G52	+
G65	G51	+
G65	G50	+
G65	G49	+
G65	G48	+
G65	G47	+
G65	G90	-
G65	G91	+
G65	G92	-
G65	G93	-
G65	G94	-
G65	G95	-
G65	G96	-
G65	G97	+
G65	G98	+
G65	G99	-
G65	G100	-
G65	G101	-
G65	G102	-
G65	G103	-
G65	G104	-
G65	G113	+
G65	G114	-
G65	G115	+
G65	G116	-
G65	G117	-
G65	G120	-
G65	G122	+
G65	G123	+
G65	G131	+
G65	G132	-
G65	G134	-
G65	G138	-
G65	G139	-
G65	G140	-
G65	G141	-
G65	G142	-
G65	G45	+
G65	G143	+
G65	G146	-
G65	G147	-
G65	G149	+
G65	G53	+
G65	G157	+
G65	G159	-
G65	G160	-
G65	G161	-
G65	G162	-
G65	G163	-
G65	G164	-
G65	G165	-
G65	G166	-
G65	G167	-
G65	G168	-
G65	G169	-
G65	G176	+
G65	G177	-
G65	G178	+
G65	G179	+
G65	G181	+
G65	G184	-
G65	G185	-
G65	G46	+
G65	G44	+
G65	G187	+
G65	G189	+
G65	G190	+
G65	G191	+
G65	G192	+
G65	G193	+
G65	G194	-
G65	G195	-
G65	G196	-
G65	G198	-
G65	G199	-
G65	G200	-
G65	G201	-
G65	G202	-
G65	G203	-
G65	G204	-
G65	G208	-
G65	G209	-
G65	G210	-
G65	G211	-
G65	G212	-
G270	G271	+
G270	G272	+
G270	G273	+
G270	G274	+
G298	G192	+
G298	G193	+
G298	G299	+
G298	G300	+
G298	G301	+
G298	G115	+
G298	G191	+
G298	G190	+
G298	G189	+
G298	G302	+
G303	G304	+
G303	G305	+
G303	G306	+
G303	G307	+
G303	G308	+
G303	G309	+
G303	G310	+
G303	G311	+
G303	G312	+
G708	G709	-
G708	G710	-
G708	G711	-
G708	G712	-
G708	G713	-
G708	G714	+
G708	G715	+
G726	G306	+
G726	G307	+
G726	G312	+
G726	G309	-
G726	G310	-
G726	G311	-
G726	G308	-
G726	G727	-
G726	G303	+
G726	G305	+
G726	G304	-
G726	G731	+
G726	G732	+
G726	G733	+
G726	G734	+
G726	G735	+
G726	G736	+
G726	G737	+
G726	G738	+
G407	G79	+
G407	G740	+
G407	G741	+
G407	G742	+
G407	G743	+
G407	G481	+
G407	G116	+
G754	G699	+
G754	G698	+
G448	G774	+
G775	G776	+
G775	G777	+
G775	G778	+
G775	G779	+
G775	G780	+
G775	G781	+
G775	G782	+
G775	G783	+
G775	G784	+
G775	G785	+
G775	G786	+
G775	G787	+
G775	G788	+
G775	G789	+
G775	G790	+
G775	G619	+
G775	G628	+
G775	G791	+
G775	G792	+
G775	G381	+
G775	G382	+
G775	G383	+
G775	G384	+
G775	G385	+
G775	G386	+
G775	G387	+
G775	G388	+
G775	G389	+
G775	G390	+
G657	G908	+
G657	G909	+
G657	G910	+
G657	G911	+
G657	G912	+
G657	G913	+
G657	G914	+
G657	G915	+
G657	G916	+
G657	G917	+
G657	G918	+
G657	G919	+
G657	G920	+
G657	G921	+
G657	G922	+
G657	G923	+
G657	G924	+
G657	G925	+
G657	G926	+
G657	G927	+
G657	G928	+
G657	G929	+
G657	G930	+
G657	G931	+
G657	G932	+
G657	G933	+
G657	G934	+
G658	G923	+
G658	G924	+
G658	G925	+
G658	G926	+
G658	G927	+
G658	G928	+
G658	G929	+
G658	G930	+
G658	G931	+
G658	G932	+
G658	G933	+
G658	G934	+
G657	G935	+
G657	G936	+
G657	G937	+
G657	G81	+
G657	G82	+
G657	G83	+
G657	G90	-
G657	G525	-
G657	G526	-
G657	G938	+
G657	G939	+
G657	G940	+
G657	G941	+
G657	G942	+
G657	G943	+
G657	G944	+
G657	G945	+
G657	G946	+
G657	G947	+
G657	G948	+
G657	G949	+
G657	G791	+
G657	G792	+
G657	G950	+
G657	G951	+
G657	G801	+
G657	G802	+
G657	G803	+
G657	G804	+
G657	G805	+
G657	G806	+
G657	G807	+
G657	G952	+
G657	G953	+
G657	G954	+
G657	G955	+
G657	G956	+
G657	G957	+
G657	G958	+
G657	G959	+
G657	G960	+
G657	G961	+
G657	G962	+
G657	G963	+
G657	G964	+
G657	G965	+
G657	G966	+
G657	G967	+
G657	G968	+
G657	G969	+
G657	G970	+
G658	G81	+
G658	G82	+
G658	G83	+
G658	G90	-
G658	G525	-
G658	G526	-
G658	G938	+
G658	G939	+
G658	G940	+
G658	G941	+
G658	G942	+
G658	G943	+
G658	G944	+
G658	G945	+
G658	G946	+
G658	G947	+
G658	G948	+
G658	G949	+
G658	G791	+
G658	G792	+
G658	G950	+
G658	G951	+
G658	G801	+
G658	G802	+
G658	G803	+
G658	G804	+
G658	G805	+
G658	G806	+
G658	G807	+
G658	G952	+
G658	G953	+
G658	G954	+
G658	G955	+
G658	G956	+
G658	G957	+
G658	G958	+
G658	G959	+
G658	G960	+
G658	G961	+
G658	G962	+
G658	G963	+
G658	G964	+
G658	G965	+
G658	G966	+
G658	G967	+
G658	G968	+
G658	G969	+
G658	G970	+
G658	G908	+
G658	G909	+
G658	G910	+
G658	G911	+
G658	G912	+
G658	G913	+
G658	G914	+
G658	G915	+
G658	G916	+
G658	G917	+
G658	G918	+
G658	G919	+
G658	G920	+
G658	G921	+
G658	G922	+
G658	G935	+
G658	G936	+
G658	G937	+
G77	G146	+
G77	G147	+
G77	G149	+
G77	G808	+
G77	G65	+
G77	G486	+
G77	G971	+
G77	G972	+
G77	G973	+
G77	G974	+
G77	G157	-
G77	G66	-
G77	G494	+
G77	G812	+
G77	G975	+
G77	G976	+
G77	G192	+
G77	G193	+
G77	G299	+
