G1	G2	-
G1	G3	-
G1	G4	-
G9	G10	+
G43	G44	+
G43	G45	+
G43	G46	+
G43	G47	+
G43	G48	+
G43	G49	+
G43	G50	+
G43	G51	+
G43	G52	+
G43	G53	+
G54	G55	-
G54	G56	+
G54	G57	+
G54	G58	+
G54	G59	+
G54	G60	-
G54	G61	+
G54	G62	+
G54	G63	-
G54	G64	+
G65	G66	+
G65	G67	+
G65	G68	+
G65	G69	-
G65	G70	-
G65	G71	-
G65	G72	-
G65	G73	-
G65	G74	-
G65	G75	-
G65	G76	-
G65	G77	-
G65	G78	-
G65	G79	+
G65	G80	-
G65	G81	-
G65	G82	-
G65	G83	-
G65	G84	-
G65	G85	-
G65	G86	+
G65	G52	+
G65	G51	+
G65	G50	+
G65	G49	+
G65	G48	+
G65	G47	+
G65	G87	-
G65	G88	-
G65	G89	-
G65	G90	-
G65	G91	+
G65	G92	-
G65	G93	-
G65	G94	-
G65	G95	-
G65	G96	-
G65	G97	+
G65	G98	+
G65	G99	-
G65	G100	-
G65	G101	-
G65	G102	-
G65	G103	-
G65	G104	-
G65	G105	+
G65	G106	+
G65	G107	-
G65	G108	-
G65	G109	-
G65	G110	-
G65	G111	-
G65	G112	-
G65	G113	+
G65	G114	-
G65	G115	+
G65	G116	-
G65	G117	-
G65	G118	+
G65	G119	+
G65	G120	-
G65	G121	-
G65	G122	+
G65	G123	+
G65	G124	+
G65	G125	+
G65	G126	+
G65	G127	+
G65	G128	+
G65	G129	+
G65	G130	+
G65	G131	+
G65	G132	-
G65	G133	-
G65	G134	-
G65	G135	-
G65	G136	-
G65	G137	-
G65	G138	-
G65	G139	-
G65	G140	-
G65	G141	-
G65	G142	-
G65	G45	+
G65	G143	+
G65	G144	-
G65	G145	-
G65	G146	-
G65	G147	-
G65	G148	-
G65	G149	+
G65	G150	-
G65	G53	+
G65	G151	-
G65	G152	-
G65	G153	-
G65	G154	-
G65	G155	-
G65	G156	-
G65	G157	+
G65	G158	-
G65	G159	-
G65	G160	-
G65	G161	-
G65	G162	-
G65	G163	-
G65	G164	-
G65	G165	-
G65	G166	-
G65	G167	-
G65	G168	-
G65	G169	-
G65	G170	-
G65	G171	+
G65	G172	-
G65	G173	+
G65	G174	-
G65	G175	-
G65	G176	+
G65	G177	-
G65	G178	+
G65	G179	-
G65	G180	-
G65	G181	+
G65	G182	-
G65	G183	-
G65	G184	-
G65	G185	-
G65	G46	+
G65	G44	+
G65	G186	+
G65	G187	+
G65	G188	-
G65	G189	+
G65	G190	+
G65	G191	+
G65	G192	+
G65	G193	+
G65	G194	-
G65	G195	-
G65	G196	-
G65	G197	+
G65	G198	-
G65	G199	-
G65	G200	-
G65	G201	-
G65	G202	-
G65	G203	-
G65	G204	-
G65	G205	-
G65	G206	-
G65	G207	-
G65	G208	-
G65	G209	-
G65	G210	-
G65	G211	-
G65	G212	-
G213	G214	+
G213	G215	+
G213	G216	+
G213	G217	+
G213	G218	+
G213	G219	+
G213	G220	+
G266	G267	+
G266	G268	-
G266	G269	-
G270	G271	+
G270	G272	+
G270	G273	+
G270	G274	+
G275	G276	+
G275	G277	+
G275	G278	+
G275	G279	+
G275	G280	+
G275	G281	+
G275	G282	+
G275	G283	+
G153	G154	-
G153	G152	-
G153	G151	-
