G1	G2	-
G1	G3	-
G1	G4	-
G43	G44	+
G43	G45	+
G43	G46	+
G43	G47	+
G43	G48	+
G43	G49	+
G43	G50	+
G43	G51	+
G43	G52	+
G43	G53	+
G65	G69	-
G65	G70	-
G65	G71	-
G65	G72	-
G65	G73	-
G65	G76	-
G65	G80	-
G65	G52	+
G65	G51	+
G65	G50	+
G65	G49	+
G65	G48	+
G65	G47	+
G65	G88	-
G65	G89	-
G65	G105	+
G65	G106	+
G65	G114	-
G65	G119	+
G65	G121	-
G65	G123	+
G65	G124	+
G65	G125	+
G65	G126	+
G65	G127	+
G65	G128	+
G65	G129	+
G65	G130	+
G65	G132	-
G65	G133	-
G65	G134	-
G65	G136	-
G65	G142	-
G65	G45	+
G65	G146	-
G65	G147	-
G65	G149	+
G65	G150	-
G65	G53	+
G65	G151	-
G65	G152	-
G65	G153	-
G65	G154	-
G65	G155	-
G65	G156	-
G65	G158	-
G65	G159	-
G65	G160	-
G65	G161	-
G65	G162	-
G65	G163	-
G65	G164	-
G65	G165	-
G65	G168	-
G65	G169	-
G65	G170	-
G65	G171	-
G65	G172	+
G65	G173	-
G65	G174	-
G65	G175	-
G65	G177	+
G65	G178	+
G65	G180	-
G65	G46	+
G65	G44	+
G65	G186	+
G65	G194	-
G65	G197	+
G65	G198	-
G65	G199	-
G65	G201	-
G65	G203	-
G65	G204	-
G65	G205	-
G65	G206	-
G65	G207	-
G213	G214	+
G213	G215	+
G213	G216	+
G213	G217	+
G213	G218	+
G213	G219	+
G213	G220	+
G221	G222	-
G221	G223	-
G221	G224	-
G221	G225	-
G221	G226	-
G221	G227	-
G221	G228	-
G221	G229	-
G221	G230	-
G221	G231	-
G221	G232	-
G221	G233	-
G221	G234	-
G221	G235	-
G221	G236	-
G221	G237	-
G221	G238	-
G221	G239	-
G221	G240	-
G221	G241	-
G221	G242	-
G221	G243	-
G221	G244	-
G221	G245	+
G221	G246	+
G221	G247	+
G221	G248	+
G221	G249	+
G221	G250	-
G221	G251	-
G221	G252	-
G221	G253	-
G221	G254	-
G221	G255	-
G221	G256	-
G221	G257	-
G266	G267	+
G266	G268	-
G266	G269	-
G275	G276	+
G275	G277	+
G275	G278	+
G275	G279	+
G275	G280	+
G275	G281	+
G275	G282	+
G275	G283	+
G153	G154	-
G153	G152	-
G153	G151	-
G294	G295	-
G294	G296	+
G297	G156	+
G297	G155	+
G329	G330	-
G329	G331	+
G329	G332	+
G329	G333	-
G329	G334	-
G329	G335	+
G329	G336	+
G329	G337	+
G329	G338	+
G329	G339	+
G329	G340	+
G329	G341	-
G329	G342	-
G329	G343	+
G329	G344	-
G329	G345	+
G329	G346	-
G329	G347	+
G329	G348	-
G329	G349	-
G329	G350	-
G329	G351	+
G329	G352	+
G329	G353	+
G329	G354	+
G329	G355	-
G329	G281	+
G329	G275	+
G329	G356	+
G329	G357	+
G329	G358	+
G329	G359	+
G329	G360	+
G329	G361	-
G329	G280	+
G329	G362	-
G329	G363	+
G329	G364	+
G329	G365	-
G329	G366	-
G329	G367	-
G329	G368	-
G329	G369	-
G329	G370	-
G329	G371	+
G329	G279	+
G329	G372	+
G329	G278	+
G329	G277	+
G329	G276	+
G329	G373	-
G329	G374	-
G329	G375	+
G329	G376	+
G329	G282	+
